CustID,CompanyName,ContactFirst,ContactLast,Address,City,State,Zip,Phone,Balance
1,Piazza Real Estate,Terry,Ramadani,1897 Gary Ave,Spokane,WA,99204,5093248213,0
2,McDonald Construction,Terese,Spredemann,5976 14th Ave NW,Portland,OR,97233,5037985646,0
3,Douglas Law Firm,Susan,Suarez,375 56th St,Spokane,WA,99245,5098572465,0
4,,Felicia,Pursifull,61 Virginian Ln,Jackson Hole,WY,83001,3072249633,0
5,,Rebecca,Leighty,1803 Nora Ave W,Spokane,WA,99202,5095463133,0
6,Woodman Furniture,Jeff,Booker,156 Fourth St SW,Seattle,WA,98145,2063546785,0
7,,Zarra,Thomas,9390 Marilu Rd,Jackson Hole,WY,83001,3075556547,0
8,,Deidre,Haferson,201 North River Dr W,Spokane,WA,99201,5096483132,0
9,Limited Partners,Yeon,Wung,14588 25th St NW,Spokane,WA,99203,5094873574,0
10,"Brody & Karnall, PC",Darla,Barbar,6755 Forestview Dr W,Portland,OR,97215,5035465465,0
11,,Brandy,Jonaitis,955 Simon Ln,Jackson Hole,WY,83003,3075412216,0
12,Partners in Health,Josephine,Miazga,6133 Highland Park,Spokane,WA,99203,5093246542,0
13,County Booksellers,Roselina,Smith,655 Ponderosa Dr,Jackson Hole,WY,83005,3076853211,0
14,,Mary,Pyo,8534 Klondike Lane NW,Seattle,WA,98152,2063457122,0
15,Jenkins Publishing Company,Teresa,Scott,604 Sound Ave W,Spokane,WA,99209,5093742154,0
16,,Walter,Garth,78 Beloit Ave,Spokane,WA,99210,5093249213,0
17,Physical Therapy Group,Martha,Fordahl,11040 Dayton Pike,Jackson Hole,WY,83002,3075512341,0
18,County Hospital,Angela,Areba,6308 24th Ave NW,Seattle,WA,98001,2065742111,0
19,,Melissa,Doezal,15607 Timberwood Ct N,Spokane,WA,99205,5092324682,0
20,Ruby Booksellers,Nora,Rittmeyer,3122 Mountain View Rd,Seattle,WA,98102,2063346564,0
21,,Paul,Rabideaux,10024 Colfax Rd N,Spokane,WA,99203,5094323546,0
22,Hannah's Antiques,Marcia,Harrison,14228 S US Highway 191,Jackson Hole,WY,83001,3075412231,0
23,Buck's Bikes,Melinda,Harper,5259 Mithun Pl NE,Seattle,WA,98012,2064678885,0
24,,Robert,Soorbine,2467 Fifth St,Spokane,WA,99204,5093525635,0
25,,Andrea,Franklin,8978 Fullerton Rd,Jackson Hole,WY,83001,3078412300,0
26,,Judy,Boehme,5690 Riceville Rd,Portland,OR,97201,5034657955,0
27,Houseman Realtors,Angela,Sokovich,638 25th Ave E,Spokane,WA,99216,5096421115,0
28,,Scott,Cooperstein,523 Mansfield Ave W,Spokane,WA,99262,5093654683,0
29,,Laura,Young,2925 N Aspen Wood Ln,Jackson Hole,WY,83004,3075421346,0
30,,Dora,Castillo,6308 24th Ave NW,Seattle,WA,98016,2063451145,0
31,Johnson Fleet Service,Sherry,Carter,806 Powderhorn Ln,Jackson Hole,WY,83005,3075471321,0
32,Boat Storage Systems,Oswald,Coates,620 Olympic Pl W,Seattle,WA,98048,2064521352,0
33,,Jerry,Murillo,4789 E. G Street,Jackson Hole,WY,83002,3072495555,0
34,,Garth,Ferraro,5314 Sunset Hwy W,Spokane,WA,99201,5093451247,0
35,Vanway Accounting,Charlene,Leong,2172 Corner Creek Ln,Jackson Hole,WY,83001,3072749233,0
36,,Rinn,Rucker,7420 Rambling Rd,Portland,OR,97212,5035413338,0
37,,Irene,Stakline,7200 Riverbrook Lane,Spokane,WA,99215,5096541246,0
38,Squeaky Clean Carwash,Rosa,Fernando,923 Mountain Pass,Jackson Hole,WY,83001,3079511124,0
